,days_until_funded,funded_amount,terms_disbursal_amount,loan_amount,repayment_term,contains_old,contains_improve,contains_help,contains_buy,contains_loan,negative_sentiment,positive_sentiment,overall_positive,description_length,is_female,is_bulgaria,is_iraq,is_zambia,is_thailand,is_health,is_ed,is_arts,is_agriculture,is_food,is_housing,african,asian,north_american,south_american,european,paid,refunded,defaulted,in_repayment
12534,0,600,12000000.0,600,11,0,1,0,1,1,5,2,0,79,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12535,0,500,10000000.0,500,11,0,1,0,1,1,5,2,0,73,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12536,0,100,4000.0,100,8,1,0,0,1,1,3,4,1,74,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12537,4,475,2200.0,475,14,1,0,0,1,1,4,6,1,174,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12538,1,650,3000.0,650,14,1,1,1,1,1,4,5,1,160,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12539,0,725,15000000.0,725,11,1,0,0,1,1,4,5,1,106,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12540,0,375,15000.0,375,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12541,0,500,10000000.0,500,11,1,0,0,0,1,2,6,1,96,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12542,0,725,15000000.0,725,11,1,1,1,1,1,6,7,1,83,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12543,0,725,15000000.0,725,11,1,0,0,1,1,4,5,1,75,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12544,5,425,2000.0,425,14,1,0,1,1,1,5,9,1,142,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12545,8,1225,600000.0,1225,14,1,0,0,0,1,3,3,0,72,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12546,1,825,400000.0,825,14,1,1,1,1,1,4,5,1,81,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12547,1,825,400000.0,825,14,1,0,0,1,1,3,5,1,85,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12548,0,625,300000.0,625,14,1,0,0,0,1,2,4,1,64,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12549,6,825,400000.0,825,12,0,0,0,1,1,3,2,0,75,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12550,2,2125,100000.0,2125,14,1,1,1,0,1,5,7,1,149,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12551,0,225,1000.0,225,14,1,0,0,1,1,4,4,0,163,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12552,0,1075,50000.0,1075,10,1,0,0,1,1,4,6,1,142,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12553,0,800,500000.0,800,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12554,0,950,4500.0,950,14,1,0,1,1,1,5,6,1,195,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12555,0,1025,500000.0,1025,14,1,0,0,1,1,3,3,0,79,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12556,1,1025,500000.0,1025,14,0,0,0,1,1,4,1,0,86,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
